commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp,matched_api,n_apis_in_product
MASSOCARE GEL 50 GM,ماسسوكاري,MENTHOL+CAMPHOR+EUCALYPTUS,DREAMS EL HABOBA > UNION GLOBE PHARMA,MASSAGE GEL,TOPICAL,55.0,menthol,1
MASSOCARE NOVA 50 GM GEL,ماسسوكاري نوفا,MENTHOL CRYSTAL+LIDOCAINE+METHYL SALICYLATE,NILE COSMETICS > CURA NOVA THERAPEUTICS,MENTHOL CRYSTAL  LIDOCAINE  METHYL SALICYLATE,TOPICAL,79.0,menthol,1
MASSOLIVIA GEL 50 GM,ماسسوليفيا,CAMPHOR OIL+EUCALYPTUS OIL+MENTHOL OIL+PANTHINOL+TO COPHERYL ACETATE+GUAR GUM+GLYCERIN+XANTHAN GUM+POTASSIUM SORBATE+HUDROXY PROPYL CELLULOSE+BETAINE+TWEEN 20+PROPYLENEGLYCOL+ETHANOL 70 %+PEPPERMINT OIL+PARAFFINUM LIQUIDUM+COLVE OIL+THYME OIL+ACETYLATED LANOLIN+DIAZOLIDINVAL UREA+BHT+WATER,DREAMS EL HABBOBA INDUSTRIAL ZONE > OLIVIA,MASSAGE GEL,TOPICAL,50.0,menthol,1
MAX-PRO TOPICAL LOTION 120ML,ماكس-برو,ZINC OXIDE+CHAMOMILE EXTRACT+MENTHOL CRYSTALS+GLYCERIN,HI-CARE > HUMAN CARE,SOOTHING TOPICAL,UNKNOWN,64.0,menthol,1
MAXFLEX CARE CREAM 100 GM,ماكسفليكس كاري,CAMPHOR+OMEGA3+6+BOSWELLIC ACID+CURCMIN+ROSEMARY EXTRACT+THYME EXTRACT+MENTHOL,SMARTEC PHARMACEUTICALS AND COSMETICS > SKILL INTERNATIONAL PHARMACEUTICAL,MASSAGE CREAM,TOPICAL,82.0,menthol,1
MAXI CARE CREAM 75 GM,ماكسي كاري,GAULTHERIA OIL+CLOVE OIL+EUCALYPTUS OIL+TURPENTINE+WILLOW BARK+ROSEMARY+MENTHOL+BEES WAX,LEADER COSMETICS > MARYO PHARM,MASSAGE CREAM,TOPICAL,137.0,menthol,1
MAXITOP CREAM 60 GM,ماكسيتوب,EUCALYPTUS OIL+TURPENTINE OIL+MENTHOL,EGPI > PURITY PHARMA,MASSAGE CREAM,TOPICAL,65.0,menthol,1
MAXRDAX GEL 100 GM,ماكسرداكس,MENTHOL+CAMPHOR+EUCALYPTUS+CLOVE OIL+ALPHA TOCOPHEROL+METHYL SALICYLATE,EGYPTIAN CO. FOR COSMETICS > MEDIX PHARM,MASSAGE,TOPICAL,110.0,menthol,1
MAXRDAX GEL 50 GM,ماكسرداكس,MENTHOL+CAMPHOR+EUCALYPTUS+CLOVE OIL+ALPHA TOCOPHEROL+METHYL SALICYLATE,EGYPTIAN CO. FOR COSMETICS > MEDIX PHARM,MASSAGE,TOPICAL,39.0,menthol,1
MAXWELL MASSAGE EMULGEL 100 GM,ماكسويلل ماسساجي إمولجيل,MENTHOL+CAMPHOR+EUCALYPTUS+METHYLSALICYLATE+POMEGRINATE OIL+TEA TREE OIL+CLOVE OIL+MSM+VITAMIN E,DREAMS EL HABBOBA > OPEXA,MASSAGE TOPICAL,TOPICAL,90.0,menthol,1
MAXWELL MASSAGE EMULGEL 50 GM,ماكسويلل ماسساجي إمولجيل,MENTHOL+CAMPHOR+EUCALYPTUS+METHYLSALICYLATE+POMEGRINATE OIL+TEA TREE OIL+CLOVE OIL+MSM+VITAMIN E,DREAMS EL HABBOBA > OPEXA,MASSAGE EMULGEL,TOPICAL,45.0,menthol,1
MEDCLOUD 100 ML LOTION,ميدكلود,CALAMINE+ZINC OXIDE+OLIVE OIL+GLYCERIN+ALOE BARABDENSIS LEAF JUICE+ORYZA SATIVA BRAN OIL+CHAMOMILE OIL+SALVIA OFFICINALIS EXTRACT+MENTHOL+CMC+XANTHAN GUM+THYMOL,CIRA PHARMA > VEXOR PHARMACEUTICAL,SKIN CARE . SOOTHING,UNKNOWN,85.0,menthol,1
MEDIXOACT 60 GM GEL,ميديكسواكت,MENTHOL+CINNAMOMUM+EUCALYPTUS+CLOVE OIL+AVOCADO OIL+SALICYLIC ACID+MAGNESIUM SULFATE,NILE COSMETICS > MEDIXO PHARMACEUTICAL COMPANY,MASSAGE GEL,TOPICAL,60.0,menthol,1
MEDOX PURE GEL - MASSAGE GEL 50 GM,ميدوكس بوري - ماسساجي,MENTHOL - CLOVE - VITAMIN E - CAMPHOR - EUCALYPTUS OIL,EL NILE PHARMACEUTICAL INDUSTRIES > JNYV PHARMA,MASSAGE GEL,TOPICAL,35.0,menthol,1
MEGA CLEANSER VAG.DOUCHE 120 ML,ميجا كليانسير فاج,COCAMIDOPROPYL BETAINE+DIMETHICONE COPOLYOL+THYME EXTRACT+CHAMOMILE EXTRACT+MENTHOL CRYSTALS+ALOE VE,LEADER COSMETICS > OTACI MED PHARMA,VAGINAL WASH,VAGINAL,9.25,menthol,1
MELANO MASSAGE CREAM PLUS 40 GM,ميلانو ماسساجي بلوس,MENTHOL+EUCALYPTUS OIL+TURPENTINE OIL+CAMPHOR OIL+THYME OIL+CINNAMON OIL+CLOVE OIL+GREEN TEA OIL,LANA > MELANO PHARMA,MASSAGE CREAM,TOPICAL,40.0,menthol,1
MELANOCOOL CREAM 60 GM,ميلانوكول,D.I WATER-ALMOND OIL-HYALURONIC ACID-SODIUM STEARYL SULFATE- GLYCERIN-SHEA BUTTER-UREA - OLIVE OIL-STEARIC ACID-CETYL ALCOHOL-PERFUME- D-PANTHENOL-COCONUT OIL-ALOE VERA EXTRACT- TOCOPHERYL ACETATE (VIT.E)-HONEY-DIMETHICONE BHT-PROPYL PARABEN-METHYL PARABEN-MENTHOL,MELANO PHARMA FOR COSMETICS > MELANO PHARMA,SKIN CARE,TOPICAL,80.0,menthol,1
MENTHOGREEN TOP. CREAM 40 GM,مينثوجرين توب,MENTHOL+METHYL SALICYLATE,ALEXANDRIA,ANALGESIC,TOPICAL,5.0,menthol,1
MENTHOPHOR MASSAGE CREAM 40 GM,مينثوفور ماسساجي,MENTHOL+CAMPHOR+CAPSAICIN+PEPPERMINT+TROLAMINE SALICYLATE+EUCALYPTUS+ARNICA+METHYL SALICYLATE,EL-HELOU PERFUMES & COSMETICS > MASTER CARE,MASSAGE CREAM,TOPICAL,30.0,menthol,1
MENTHOR TOPICAL GEL. 30 GM,مينثور,CAMPHOR+MENTHOL,DELTA PHARMA,ANALGESIC,TOPICAL,50.0,menthol,1
MENTO MIX GEL 60 GM,مينتو ميكس,EUCALYPTUS OIL+CAMPHOR+GINKGO+CLOVE OIL+APRICOT KERNEL OIL+MENTHOL+PANTHENOL+TOCOPHEROL,EGYPTIAN COMPANY FOR COSMETICS > PHARMIX,MASSAGE CREAM,TOPICAL,40.0,menthol,1
MENTO MIX SPRAY 120 ML,مينتو ميكس,MENTHOL+EUCALYPTUS+CAMPHOR+VITAMIN A+CLOVE OIL+GINKGO BILOBA+PEPPERMINT OIL+TEA TREE OIL,EGYPTIAN COMPANY FOR COSMETICS > PHARMIX,MASSAGE SPRAY,SPRAY,50.0,menthol,1
MENTOPHOR MASSAGE CREAM 100 GM,مينتوفور ماسساجي,MENTHOL CRYSTALS+EUCALYPTUS OIL+PEPPERMINT OIL+CAMPHOR+CLOVE OIL,EL HELOU (HEALTHY GROUP) > MASTER CARE,MASSAGE CREAM,TOPICAL,115.0,menthol,1
MENTOPROFEN GEL 20 GM,مينتوبروفين,CAMPHOR+KETOPROFEN+MENTHOL,PHAROPHARMA,ANALGESIC,TOPICAL,4.75,menthol,1
MEPHAN-ON 100MG MASSAGE CREAM,ميفان-أون ماسساجي,MENTHOL+CAMPHOR+MENTHA PIPERITA OIL+EUGENIA CARYOPHYLLUS LEAF OIL+THYMOL+CALCIUM SULFATE+MAGNESIUMSULFATE+BOSWELLIA SERRATA EXTRACT+CINNAMOMUM ZEYLANICUM BARK OIL,DREAMS EL HABOBA AND ECC > INNOVEC PHARMACEUTICAL,MASSAGE CREAM,TOPICAL,190.0,menthol,1
MESTAL MASSAGE GEL 30 GM,ميستال ماسساجي,MENTHOL+CAMPHOR+EUCALYPTUS OIL+SALIX EXT+CARBOMER+TRIETHANOLAMINE,HI-CARE > A.M.D COMPANY,MASSAGE CREAM,TOPICAL,20.0,menthol,1
MESTAL MASSAGE GEL 80 GM,ميستال ماسساجي,MENTHOL+CAMPHOR+EUCALYPTUS OIL+SALIX EXT+CARBOMER+TRIETHANOLAMINE,HI-CARE > A.M.D COMPANY,MASSAGE CREAM,TOPICAL,86.5,menthol,1
METAPI FEMININE WASH 200 ML,ميتابي فيمينيني واش,CHAMOMILE EXTRACT+THYMOL+MENTHOL+CLEANSING & FOAMING BASE,I.C.C. > EGYCURE,VAGINAL WASH,VAGINAL,33.0,menthol,1
MEZDAN GEL 75 GM,ميزدان,GLUCOSAMINE+CHONDROITIN+EUCALYPTUS OIL+CLOVE OIL+BETAINE+MENTHOL OIL+PARAFFIN OIL,EGYPTIAN CO. FOR COSMETICS > DOCARE PHARM,MASSAGE CREAM,TOPICAL,45.0,menthol,1
MEZDAN SPRAY 100 ML,ميزدان,EUCALYPTUS OIL+CLOVE OIL+BETAINE+MENTHOL OIL+PARAFFIN OIL+CAMPHOR+PANTHENOL,EGYPTIAN CO. FOR COSMETICS > DOCARE PHARM,MASSAGE CREAM,SPRAY,57.5,menthol,1
MI KIDS LOTION 110 ML,مي كيدس,BIOTIN+CAFFEINE+GREEN COFFEE+SAW PALMETTO+VITAMIN B6+RICE PROTIN+HORSE CHESTNUT+ROSEMARY+CHAMOMILE OIL+ALOE VERA OIL+GINSENG+MENTHOL+PANTHENOL,SAFE LIFE,HAIR CARE,UNKNOWN,80.0,menthol,1
MID MASSAGE CREAM 50 GM,ميد ماسساجي,MENTHOL CRYSTALS+EUCALYPTUS OIL+CAMPHOR+PARAFFIN OIL,HI-CARE > ORGA PURE,MASSAGE CREAM,TOPICAL,34.0,menthol,1
MINTOLINE MOUTH WASH & GARGLE 120 ML,مينتوليني موث واش &,EUCALYPTOL+MENTHOL+METHYL SALICYLATE+THYMOL,KAHIRA,MOUTH WASH,MOUTH,5.0,menthol,1
MINTOVEX GEL 50 GM,مينتوفيكس,MENTHOL+CAMPHOR,SEKEM,MASSAGE CREAM,TOPICAL,6.25,menthol,1
MINTY TALK MOUTH REFRESHENER SPRAY 60 ML,مينتي تالك موث ريفريشينير,CLOVE OIL+THYME OIL+MENTHOL+EUCALYPTUS OIL+SORBITOL+PEPPERMINT EXT+CHAMOMILE EXT+VIT. C+HONEY EXT+GLYCERIN+CHLORHEXIDINE DIGLUCONATE+SODIUM BENZOATE+PROPYLENE GLYCOL+DISODIUM PHOSPHATE+HYDROXYETHYL ETHYLCELLULOSE,EL HELOU (HEALTHY GROUP) > ARCADIA PHARMA,ORAL CARE,MOUTH,60.0,menthol,1
MIRAGE CREAM 50 GM,ميراجي,MENTHOL CRYSTALS+CAMPHOR+CALENDULA EXTRACT,HI-CARE > PRIMA PHARM,MASSAGE CREAM,TOPICAL,60.0,menthol,1
MIRRAMORCARE MASSAGE CREAM 50 GM,ميرراموركاري ماسساجي,MENTHOL+GINGER+CAPSICUM,EL NILE FACTORY FOR COSMETICS > REPAIR PHARMA,MASSAGE,TOPICAL,50.0,menthol,1
MLIXASSAGE-RELAX 100 ML SPRAY,مليكساسساجي-ريلاكس,MENTHOL+CAMPHOR OIL+EUCALYPTUS OIL+ALLANTOIN+PANTHENOL+GLYCERIN,NILE FOR COSMATIC > PREMIX PHARMA,MASSAGE SPRAY,UNKNOWN,95.0,menthol,1
MOBI ZOME 100 GM GEL,موبي زومي,MENTHOL+CHAMFOR+EUCALYPTUS,SMARTEC > VIDAL PHARMA,MASSAGE GEL,TOPICAL,120.0,menthol,1
MOBIEASE CREAM 120 GM,موبياسي,GLUCOSAMINE+CHONDROITIN+MSM+VITAMIN C+MENTHOL+CAMPHOR+CLOVE OIL+GOTU KOLA+GINKGO+EUCALYPTUS OIL,EGYPTIAN COMPANY FOR COSMETICS > INFINITY PHARM,MASSAGE CREAM,TOPICAL,80.0,menthol,1
MOBIEASE CREAM 60 GM,موبياسي,GLUCOSAMINE+CHONDROITIN+MSM+VITAMIN C+MENTHOL+CAMPHOR+CLOVE OIL+GOTU KOLA+GINKGO+EUCALYPTUS OIL,EGYPTIAN COMPANY FOR COSMETICS > INFINITY PHARM,MASSAGE CREAM,TOPICAL,80.0,menthol,1
MOBIEASE GEL 120 GM,موبياسي,GLUCOSAMINE+CHONDROITIN+MSM+VITAMIN C+MENTHOL+CAMPHOR+CLOVE OIL+GOTU KOLA+GINKGO+EUCALYPTUS OIL,EGYPTIAN COMPANY FOR COSMETICS > INFINITY PHARM,MASSAGE CREAM,TOPICAL,110.0,menthol,1
MOBIEASE GEL 60 GM,موبياسي,GLUCOSAMINE+CHONDROITIN+MSM+VITAMIN C+MENTHOL+CAMPHOR+CLOVE OIL+GOTU KOLA+GINKGO+EUCALYPTUS OIL,EGYPTIAN COMPANY FOR COSMETICS > INFINITY PHARM,MASSAGE CREAM,TOPICAL,80.0,menthol,1
MOBILITE 60 ML  MASSAGE GEL,موبيليتي ماسساجي,EUCALYPTUS OIL  CAMPHORA BARK OIL.  MENTHOL   PANTHENOL TOCOPHERYL ACETATE.  CHLORIDE GLYCERIN.   XANTHAN GUM.  H?DROXYPROPYL METHYLCELLULOSE POTASSIUM SORBATE BETAINE POLYSORBATE 20.  PROPYLENE GLYCOL  ETHANOL 70% PEPPERMINT IL PARAFINUM LIQUIDIUM.  CLOVE OIL    THYME OIL    ACETYLATED LANOLIN    DIAZOLIDINYL  UREA DIMETHICONE  ?HT,SMARTEC > EVOKA PHARMA,MASSAGE GEL,TOPICAL,59.0,menthol,1
MOBINORM CREAM 120 GM,موبينورم,CAMPHOR+HORSE CHESTNUT+ROSEMARY OIL+LEMON GRASS OIL+PEPPERMINT OIL+MENTHOL,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > INFINITY PHARM,MASSAGE CREAM,TOPICAL,100.0,menthol,1
MOBINORM CREAM 60 GM,موبينورم,CAMPHOR+HORSE CHESTNUT+ROSEMARY OIL+LEMON GRASS OIL+PEPPERMINT OIL+MENTHOL,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > INFINITY PHARM,MASSAGE CREAM,TOPICAL,75.0,menthol,1
MOBINORM SPRAY 120 ML,موبينورم,EUCALYPTUS OIL+CLOVE OIL+ALMOND OIL+MENTHOL+CAMPHOR+PEPPERMINT OIL+THYME+CINNAMON OIL,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > INFINITY PHARM,MASSAGE CREAM,SPRAY,120.0,menthol,1
MONTANA MOUTH WASH 200 ML,مونتانا موث واش,CHLORHEXIDINE+THYMOL+MENTHOL+SORBITOL+GLYCERIN+POTASSIUM SORBATE,HI-CARE > PHARMAVERA,ORAL CARE,MOUTH,14.0,menthol,1
MOOV MASSAGE CREAM 40 GM,موف ماسساجي,CAMPHOR+CAMPHOR OIL+MENTHOL+METHYL SALICYLATE+CAPSICUM OLEORESIN,EVA PHARMA,ANALGESIC.ANTIRHEUMATIC,TOPICAL,35.0,menthol,1
MOSCOW MASSAGE CREAM 100 GM,موسكوو ماسساجي,GLUCOSAMINE+METHYL SALICYLATE+MENTHOL+CAMPHOR+VITAMIN C+EMU OIL+OMEGA3,HI CARE > TETRAPHARM,MASSAGE CREAM,TOPICAL,110.0,menthol,1
MOSCOW MASSAGE CREAM 50 GM,موسكوو ماسساجي,GLUCOSAMINE+METHYL SALICYLATE+MENTHOL+CAMPHOR+VITAMIN C+EMU OIL+OMEGA3,HI CARE > TETRAPHARM,MASSAGE CREAM,TOPICAL,85.0,menthol,1
MOURINZE 30ML MOUTH SPRAY,مورينزي موث,ECHINACEA -TEA TREE OIL-MENTHOL - ALOVERA,SMARTEC > ALPHA CEUTICAL PHARMA,NASAL SPRAY,SPRAY,110.0,menthol,1
MOVAREST  120 GM GEL,موفاريست,EUCALYPTUS OIL+MENTHOL+AVOCADO OIL+CAMPHOR OIL+CLOVE EXTRACT+PEPPERMINT OIL,EGYPTIAN COMPANY FOR COSMETICS > IX PHARMA,MASSAGE GEL,TOPICAL,145.0,menthol,1
MOVAREST  60 GM GEL,موفاريست,EUCALYPTUS OIL+MENTHOL+AVOCADO OIL+CAMPHOR OIL+CLOVE EXTRACT+PEPPERMINT OIL,EGYPTIAN COMPANY FOR COSMETICS > IX PHARMA,MASSAGE  GEL,TOPICAL,75.0,menthol,1
MOVARIO MASSAGE SPRAY 120 ML,موفاريو ماسساجي,MENTHOL+CAMPHOR+THYMOL+EUCALYPTUS,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > BIOHEALTH COMPANY FOR MEDICINES,MASSAGE,SPRAY,120.0,menthol,1
MOVELEX ACTIVE MASSAGE FOAM 200 ML,موفيليكس أكتيفي ماسساجي,EMU OIL+ALOE VERA EXTRACT+BOSWELLIA EXTRACT+NIGELLA SATIVA SEED OIL+MENTHOL OIL EXTRACT,NIKIM > MAJESTIC BIOPHARMA,MASSAGE,SPRAY,295.0,menthol,1
MOVINAZ GEL 50 GM,موفيناز,METHYLSALICYLATE-MSM-MENTHOL-CAMPHOR-EUCALYPTUS-CLOVE-PEPPERMINT OIL,DBK PHARMA > MEDLIFE,MASSAGE GEL,TOPICAL,37.0,menthol,1
MOVULA FREEZE  SPRAY 100ML,موفولا فريزي,MENTHOL CRYSTALS+CAMPHOR OIL+EUCALYPTUS OIL+ALLANTOIN+PANTHENOL+GLYCERIN+TOCOPHEROL,SMARTEC > PHARMULA INTERNATIONAL FOR PHARMACEUTICAL INDUSTRIES,MASSAGE SPRAY,UNKNOWN,69.0,menthol,1
MOYAZONE BODY LOTION 100 ML,مويازوني بودي,ZINC OXIDE+HONEY+D-PANTHENOL+PROPOLIS+OLIVE OIL+TEE TREE OIL+MENTHOL OIL+LAVENDER+VITAMIN E+LANOLINE+GLYCERIN,ITALIAN COSMETICS CO. > IVET,SKIN MOISTURIZING LOTION,ORAL.LIQUID,25.0,menthol,1
MUNDOHEX MOUTH REFRESHENER SPRAY 60 ML,موندوهيكس موث ريفريشينير,PROPYLENE GLYCOL+SODIUM BENZOATE+THYME EXTRACT+CLOVE EXTRACT+MENTHOL,ITALIAN COSMETICS > OBJECTIVE PHARM,MOUTH REFRESHENER SPRAY,UNKNOWN,79.0,menthol,1
MUVISTA MASSAGE GEL 50 GM,موفيستا ماسساجي,CAMPHOR+MENTHOL,CHEMICA > NOVA PHARMA,MASSAGE CREAM,TOPICAL,90.0,menthol,1
MUVISTA MASSAGE GEL 50 SACHET,موفيستا ماسساجي,CAMPHOR+MENTHOL,CHEMICA > NOVA PHARMA,MASSAGE,EFF,250.0,menthol,1
MYOCOOL CREAM 100 GM,ميوكول,MENTHOL+PEPPERMINT OIL+SALICYLIC ACID+EUCALYPTUS OIL+CLOVE OIL+CAMPHOR OIL,LEADER COSMETICS > PUREX HEALTH CARE,MASSAGE CREAM,TOPICAL,135.0,menthol,1
MYOCOOL CREAM 60 GM,ميوكول,MENTHOL+PEPPERMINT OIL+SALICYLIC ACID+EUCALYPTUS OIL+CLOVE OIL+CAMPHOR OIL,LEADER COSMETICS > PUREX HEALTH CARE,MASSAGE CREAM,TOPICAL,95.0,menthol,1
MYOCOOL MASSAGE SPRAY 200 ML,ميوكول ماسساجي,MENTHOL+EUCALYPTUS+PEPPERMINT+BOSWELLIA+GINGER EXT.+CAMPHOR+RED GRAPE EXT.+VITAMIN K,LEADER COSMETICS > PUREX HEALTH CARE,MASSAGE,SPRAY,295.0,menthol,1
NANO FLEX 50 GM GEL,نانو فليكس,BOSWELLIA SERRATA RESIN EXTRACT+MENTHOL+EUCALYPTUS OIL+LECITHIN+POLYSORBATE 80+SORBITAN STEARATE,DREAMS ELHABOBA > MODERN NANO,MASSAGE CREAM,TOPICAL,189.0,menthol,1
NANOBEE 30 ML SPRAY,نانوبي,SEA WATER+HYALURONIC ACID+DEXAPANTHINOL+MENTHOL+EUCALYPTUS+ALOVERA,SINA FOR COSMETICS > HEXAGONPHARM,MOISTURISING AND CLEANING,UNKNOWN,95.0,menthol,1
NATUREST  100GM GEL,ناتوريست,VITAMIN E+OMEGA 3+OMEGA 6+PANTHENOL+EUCALYPTUS OIL+MENTHOL OIL+CAMPHOR OIL+PEPPERMINT OIL,NILE COSMETICS > NPCO  PHARMA,ANALGESIC   ANTI INFLAMMATORY GEL,TOPICAL,95.0,menthol,1
NEORUB 100 ML SPRAY,نيوروب,MENTHOL+CAMPHOR,SMARTEC > NEO PHARMA,MASSAGE SPRAY,SPRAY,120.0,menthol,1
NEORUB GEL 100 GM,نيوروب,MENTHOL+CAMPHOR,SMARTEC > NEO PHARMA,MASSAGE GEL,ORAL.SOLID,120.0,menthol,1
NEWARWAY 50GM MASSAGE GEL,نيوارواي ماسساجي,CAMPHOR+OIL OF WINTER GREEN+MENTHOL,LEVEN > ALEX PHARMACEUTICAL  01096870089,MASSAGE GEL,TOPICAL,85.0,menthol,1
NEXIMAZ MASSAGE CREAM 50GM,نيكسيماز ماسساجي,MENTHOL CRYSTALS+PEPPERMINT OIL+EUCALYPTUS OIL+CAMPHOR OIL,DBK FOR PHARMACEUTICAL INDUSTRIES > ALMAZ PHARMA,MASSAGE CREAM,TOPICAL,45.0,menthol,1
NIRAMAR FEMININE INTIMATE WASH 120 ML,نيرامار فيمينيني إنتيماتي واش,TRICLOSAN+MENTHOL+PROPOLIS+TEA TREE OIL+ALOE VERA EXTRACT+CHAMOMILE EXTRACT.,HI-CARE > OCTABIOTIC PHARMA,VAGINAL CARE,VAGINAL,19.0,menthol,1
NIRENA INTIMATE FEMININE WASH 250ML,نيرينا إنتيماتي فيمينيني واش,ALOE VERA EXTRACT+THYME EXT+CHAMOMILE EXT+ROSE EXT+SAGE OIL+MENTHOL+TRICLOSAN+CITRIC ACID+GLYCERIN,HI-CARE > SCIN.OFF SCIENTIFIC OFFICE,VAGINAL WASH,VAGINAL,67.0,menthol,1
NO PLAC MOUTH WASH 250 ML,نو بلاك موث واش,CHLORHEXIDINE+SODIUM MONOFLUROPHOSPHATE+SODIUM CITRATE+SODIUM BORATE+DIMETHICONE+MENTHOL CRYSTALS,CITY PHARMA > COSMO PACK,ORAL CARE,MOUTH,25.0,menthol,1
NODOULEUR TOPICAL CREAM 120 GM,نودوليور,EUCALYPTUS OIL+MENTHOL OIL+CAMPHOR OIL+CLOVE OIL+THYMOL OIL,EGYPTIAN CO. FOR COSMETICS > BEAM PHARMA,MASSAGE CREAM,TOPICAL,100.0,menthol,1
NODY ORAX MOUTH SPRAY 60 ML,نودي أوراكس موث,CLOVE OIL+MENTHOL OIL+CHLORHEXIDINE+CINNAMON OIL+VIT E,ITALIAN CO. FOR COSMETICS > S3R PHARMA,ORAL CARE,SPRAY,50.0,menthol,1
NOPEL CREAM 150 GM,نوبيل,EMU OIL+MENTHOL CRYSTALS,HI-CARE > GO SCIENTIFIC OFFICE,ANALGESIC,TOPICAL,48.0,menthol,1
NORMO-STRIKE MASSAGE CREAM 100 GM,نورمو-ستريكي ماسساجي,MENTHOL+PEPPERMINT+EUCALYPTUS+CLOVE+AVOCADO+GLYCERIN,AUG PHARMA,MASSAGE CREAM,TOPICAL,80.0,menthol,1
NOVORAL 60 ML SPRAY,نوفورال,CETYLPYRIDINIUM CHLORIDE+MENTHOL+CLOVE OIL+VITAMIN C+EUCALYPTUS,SMARTEC PHARMACEUTICAL AND COSMETICS > MEDIXIR PHARMA,MOUTH SPRAY,UNKNOWN,75.0,menthol,1
NOX TOPICAL LOTION 120ML,نوكس,ZINC OXIDE+MENTHOL CRYSTALS+THYME OIL+COCONUT OIL+GLYCERIN+BEESWAX+STEARIC ACID+CETYL ALCOHOL+ISOPRO,LEADER COSMETICS > A-ONE PHARMA,SOOTHING TOPICAL,UNKNOWN,9.75,menthol,1
NOXBAN GEL 50 GM,نوكسبان,MENTHOL CRYSTALS+TRICLOSAN+TEA TREE OIL,HI-CARE > BIO HEALTH,ANTI-ACNE,TOPICAL,38.0,menthol,1
NRZIVA VAGINAL CLEANSER 250 ML,نرزيفا كليانسير,THYME+TRICLOSAN+CITRIC ACID+MENTHOL+GASMIN ODOR+PANTHENOL+TEA TREE OIL,HI CARE > IPI,VAGINAL CARE,VAGINAL,35.0,menthol,1
NUTRA-MASS MASSAGE CREAM 100 GM,نوترا-ماسس ماسساجي,CAMPHOR+MENTHOL+EUCALYPTUS OIL+ALMOND OIL+SILICA+ETHYL HEXYL PALMITATE,NILE COSMETICS > NUTRAMED,MASSAGE CREAM,TOPICAL,55.0,menthol,1
OCHAIR ELEGANCE MASSAGE GEL 100 GM,أوتشاير إليجانسي ماسساجي,CAMPHOR OIL+EUCALYPTUS OIL+MENTHOL OIL+PANTHENOL+GLYCERIN+PEPPERMINT OIL+PARAFFIN OIL,ITALIAN COSMETICS COMPANY > ELEGANCE PHARM,MASSAGE CREAM,TOPICAL,70.0,menthol,1
OCTE MACRO ORAL SPRAY 30 ML,أوكتي ماكرو أورال,OCTETINIDINE+EUCALYPTOL+METHYL SALICYLATE+THYMOL+MENTHOL+CHAMOMILE EXTRACT+GREEN TEA EXTRACT,MACRO GROUP PHARMACEUTICALS,ORAL CARE,SPRAY,60.0,menthol,1
OCTE-MACRO MOUTHWASH 250 ML,أوكتي-ماكرو,OCTETINIDINE+EUCALYPTOL+METHYL SALICYLATE+THYMOL+MENTHOL+PEPPERMINT OIL+PEPPERMINT OIL,MACRO GROUP PHARMACEUTICALS,ORAL CARE,MOUTH,80.0,menthol,1
ODORAL MOUTH WASH 200 ML,أودورال موث واش,CHLORHEXIDINE+CHAMOMILE+MENTHOL,MIDDLE EAST PHARM. IND. > HEALTH POWER PHARMACEUTICALS,ORAL CARE,MOUTH,59.0,menthol,1
OHMA CARE GUM SOLUTION 120 ML,أوهما كاري جوم,MENTHOL+THYMOL+TEA TREE OIL+CHAMOMIL EXTRACT+CHLORHEXIDINE,EGYPTIAN COMPANY FOR COSMETICS > OHMAN PHARMA,ORAL CARE,UNKNOWN,15.0,menthol,1
OMERINO MASSAGE GEL,أوميرينو ماسساجي,MENTHOL+GLUCOSAMINE+CAMPHOR OIL+METHYEL,HI CARE > HEALTH LIFE,MASSAGE GEL,TOPICAL,50.0,menthol,1
OMIT-C MOUTH SPRAY 60ML,أوميت-ك موث,MENTHOL+THYMOL+VITAMIN C+CETRIMIDE+CHLORHEXIDINE GLUCONATE+PROPOLIS+CLOVE OIL+GLYCERIN,HI-CARE > FALCON GROUP,ORAL CARE,MOUTH,49.5,menthol,1
ONECEUTIK 50 GM GEL,أونيسيوتيك,MENTHOL+OLIVE OIL+CAMPHOR OIL+ALCOHOL,VETALITY > ZOLOX,MASSAGE CREAM,TOPICAL,85.0,menthol,1
OPTAPRO MASSAGE GEL 100 GM,أوبتابرو ماسساجي,MENTHOL+PANTHENOL+CLOVE OIL+MAGNESIUM+BOSWELLIA+WINTERGREEN OIL+ROSEMARY OIL+PEPPERMINT+OMEGA 3+CAMPHOR OIL+NIGELLA SATIVA+EUCALYPTUS OIL,> OPTIMED,MASSAGE,TOPICAL,150.0,menthol,1
ORA-DENT MOUTH WASH 120ML,أورا-دينت موث واش,THYMOL+EUCALYPTOL+MENTHOL+AMINO FLUORIDE,LEADER COSMETICS > LEADERS PHARMA,ORAL CARE,MOUTH,25.0,menthol,1
ORA.ZED MOUTH WASH 120ML,أورا.زيد موث واش,MENTHOL+CINNAMON OIL+CLOVE OIL,TOP.Z PHARMA,ORAL CARE,MOUTH,40.0,menthol,1
